CurrentState,KeyTyped,KeyCode,MouseEvent,ClickableName,MapDirection,NextState
Splash,,,mouseReleased,,,Instructions
Instructions,,,,StartGame,,Start
Instructions,,,,SelectAvatar,,AvatarSelection
AvatarSelection,,,,Done,,Instructions
Start,,,,,N,FeedMe
Start,,,,,W,Calm
Start,,,,,E,HoHum
FeedMe,,,,,S,Start
FeedMe,,,,,E,Sleepy
Sleepy,,,,,W,Start
Sleepy,,,,,S,HoHum
HoHum,,,,,N,Sleepy
HoHum,,,,,W,Start
MyNerves,,,,,N,Start
MyNerves,,,,,W,Mad
Mad,,,,,E,MyNerves
Mad,,,,,N,Calm
Calm,,,,,E,Start
Calm,,,,,S,Mad
Calm,,,,,W,DeepThoughts
DeepThoughts,,,,,E,Calm
Aha,,,,,E,DeepThoughts
Aha,,,,,W,Sleepy